GEOID,category,is_hpsa,num_pharmacies_2022,num_pharmacies_2017,num_pharmacies_2012,change_indep_10yr,change_indep_5yr,change_majchain_10yr,change_majchain_5yr
36005042000,INDEPENDENT,True,3.0,3.0,2.0,1.0,0.0,,
36005042000,MAJOR CHAIN,True,1.0,1.0,1.0,,,0.0,0.0
36005042100,HEALTHCARE,True,3.0,4.0,2.0,,,,
36005042100,INDEPENDENT,True,3.0,2.0,1.0,2.0,1.0,,
36005042100,MAJOR CHAIN,True,2.0,2.0,2.0,,,0.0,0.0
36005042200,INDEPENDENT,True,1.0,0.0,0.0,1.0,1.0,,
36005042300,INDEPENDENT,True,1.0,1.0,0.0,1.0,0.0,,
36005042400,INDEPENDENT,True,1.0,0.0,0.0,1.0,1.0,,
36005042500,INDEPENDENT,True,1.0,1.0,1.0,0.0,0.0,,
36005042600,MAJOR CHAIN,True,1.0,1.0,1.0,,,0.0,0.0
36005042800,MAJOR CHAIN,True,1.0,1.0,1.0,,,0.0,0.0
36005042902,INDEPENDENT,True,1.0,1.0,0.0,1.0,0.0,,
36005043101,INDEPENDENT,False,4.0,4.0,3.0,1.0,0.0,,
36005043102,INDEPENDENT,False,2.0,1.0,2.0,0.0,1.0,,
36005043400,INDEPENDENT,True,2.0,1.0,0.0,2.0,1.0,,
36005044200,INDEPENDENT,True,1.0,1.0,1.0,0.0,0.0,,
36005044902,INDEPENDENT,True,1.0,1.0,1.0,0.0,0.0,,
36005045101,INDEPENDENT,True,1.0,1.0,1.0,0.0,0.0,,
36005046203,MAJOR CHAIN,False,2.0,2.0,2.0,,,0.0,0.0
36005046205,INDEPENDENT,False,1.0,0.0,0.0,1.0,1.0,,
36005046205,MAJOR CHAIN,False,2.0,2.0,2.0,,,0.0,0.0
36005046207,INDEPENDENT,False,2.0,1.0,1.0,1.0,1.0,,
36005048401,INDEPENDENT,False,2.0,2.0,1.0,1.0,0.0,,
36005051601,INDEPENDENT,False,1.0,0.0,1.0,0.0,1.0,,
36007000100,MAJOR CHAIN,True,1.0,1.0,1.0,,,0.0,0.0
36007000500,HEALTHCARE,True,1.0,1.0,1.0,,,,
36007000500,MAJOR CHAIN,True,1.0,1.0,2.0,,,-1.0,0.0
36007000600,MAJOR CHAIN,True,1.0,1.0,1.0,,,0.0,0.0
36007000600,MINOR CHAIN,True,1.0,1.0,1.0,,,,
36007000900,MAJOR CHAIN,True,1.0,1.0,1.0,,,0.0,0.0
36007001300,MAJOR CHAIN,True,1.0,2.0,2.0,,,-1.0,-1.0
36007001500,HEALTHCARE,True,1.0,1.0,1.0,,,,
36007001600,MAJOR CHAIN,True,2.0,2.0,2.0,,,0.0,0.0
36007001700,HEALTHCARE,True,3.0,1.0,1.0,,,,
36007001700,INDEPENDENT,True,2.0,2.0,2.0,0.0,0.0,,
36007011901,MAJOR CHAIN,True,1.0,1.0,1.0,,,0.0,0.0
36007012101,HEALTHCARE,True,1.0,0.0,0.0,,,,
36007012101,MAJOR CHAIN,True,1.0,1.0,1.0,,,0.0,0.0
36007012102,MAJOR CHAIN,True,1.0,0.0,0.0,,,1.0,1.0
36007012103,MAJOR CHAIN,True,1.0,2.0,2.0,,,-1.0,-1.0
36007012400,INDEPENDENT,True,1.0,1.0,1.0,0.0,0.0,,
36007013202,MAJOR CHAIN,True,2.0,2.0,2.0,,,0.0,0.0
36007013500,MAJOR CHAIN,True,2.0,2.0,2.0,,,0.0,0.0
36007013700,HEALTHCARE,True,1.0,1.0,1.0,,,,
36007013700,MAJOR CHAIN,True,1.0,1.0,1.0,,,0.0,0.0
36007013800,MAJOR CHAIN,True,2.0,2.0,2.0,,,0.0,0.0
36007013900,HEALTHCARE,True,2.0,2.0,2.0,,,,
36007013900,MAJOR CHAIN,True,1.0,1.0,1.0,,,0.0,0.0
36007014100,MAJOR CHAIN,True,1.0,1.0,1.0,,,0.0,0.0
36007014200,MAJOR CHAIN,True,1.0,1.0,1.0,,,0.0,0.0
36007014301,HEALTHCARE,True,3.0,3.0,2.0,,,,
36007014301,INDEPENDENT,True,1.0,1.0,1.0,0.0,0.0,,
36007014301,MAJOR CHAIN,True,2.0,3.0,3.0,,,-1.0,-1.0
36007014301,MINOR CHAIN,True,1.0,1.0,1.0,,,,
36009940301,HEALTHCARE,True,1.0,1.0,1.0,,,,
